x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,STN_ID
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.13,2017-07-13 00:00:00,ON,2017,7,13,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.14,2017-07-14 00:00:00,ON,2017,7,14,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.15,2017-07-15 00:00:00,ON,2017,7,15,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.16,2017-07-16 00:00:00,ON,2017,7,16,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.17,2017-07-17 00:00:00,ON,2017,7,17,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.18,2017-07-18 00:00:00,ON,2017,7,18,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.19,2017-07-19 00:00:00,ON,2017,7,19,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.20,2017-07-20 00:00:00,ON,2017,7,20,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.21,2017-07-21 00:00:00,ON,2017,7,21,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.22,2017-07-22 00:00:00,ON,2017,7,22,,,,,,,,,,,,,,,,,,,,,,,,,4831
