year,breaks_ci,breaks_ci_lo,breaks_ci_hi,model,scenario,breaks_di,breaks_di_lo,breaks_di_hi,rate_ci,rate_ci_lo,rate_ci_hi,rate_di,rate_di_lo,rate_di_hi,pct_change_ci,pct_change_di
2052,44.957480644470195,0.0,147.0,CanESM5,ssp126,17.453339167589885,0.0,61.0,0.2971805965393323,0.0,0.9717080909571655,0.05419450137428935,0.0,0.18941158205247632,-14.2,-18.2
2053,41.25402375653823,0.0,135.0,CanESM5,ssp126,16.77918918661118,0.0,60.0,0.27269978686236274,0.0,0.8923849814912744,0.05210119294088241,0.0,0.1863064741499767,-21.2,-21.4
2054,42.69277111032081,0.0,139.0,CanESM5,ssp126,17.470654850300427,0.0,63.0,0.2822102796821841,0.0,0.9188260179799048,0.05424826843751103,0.0,0.19562179785747555,-18.5,-18.2
2055,39.200424135055044,0.0,129.0,CanESM5,ssp126,15.66670902966453,0.0,57.0,0.2591249612311941,0.0,0.8527234267583289,0.048646822014173356,0.0,0.17699115044247787,-25.2,-26.6
2056,43.24783437735117,0.0,140.0,CanESM5,ssp126,16.670314544376275,0.0,60.0,0.2858793917064461,0.0,0.9254362771020624,0.05176312542889699,0.0,0.1863064741499767,-17.4,-21.9
2057,38.3927932572727,0.0,126.0,CanESM5,ssp126,15.601114148144182,0.0,56.0,0.25378631185399725,0.0,0.8328926493918561,0.048443142829201,0.0,0.17388604253997825,-26.7,-26.9
2058,39.446442707943845,0.0,130.0,CanESM5,ssp126,16.672933523650062,0.0,59.0,0.2607512077468525,0.0,0.8593336858804865,0.051771257642136505,0.0,0.1832013662474771,-24.7,-21.9
2059,40.769187436089716,0.0,132.0,CanESM5,ssp126,16.67575884933862,0.0,59.0,0.2694948931523646,0.0,0.8725542041248017,0.05178003058325918,0.0,0.1832013662474771,-22.2,-21.9
2060,46.21404475251154,0.0,149.0,CanESM5,ssp126,17.732469976182596,0.0,62.0,0.30548681089708846,0.0,0.9849286092014807,0.05506123265388168,0.0,0.19251668995497592,-11.8,-16.9
2061,46.567530819070996,0.0,148.0,CanESM5,ssp126,18.672119073365554,0.0,66.0,0.3078234453931187,0.0,0.9783183500793231,0.05797894449112111,0.0,0.20493712156497437,-11.1,-12.5
2062,41.975301587799976,0.0,136.0,CanESM5,ssp126,16.288289863180275,0.0,59.0,0.2774676202260707,0.0,0.8989952406134321,0.050576897572365394,0.0,0.1832013662474771,-19.9,-23.7
2063,43.02427475401091,0.0,139.0,CanESM5,ssp126,17.39729804845278,0.0,60.0,0.28440160466691505,0.0,0.9188260179799048,0.0540204876523918,0.0,0.1863064741499767,-17.9,-18.5
2064,43.085371831084494,0.0,139.0,CanESM5,ssp126,17.528886992277723,0.0,61.0,0.28480547217797786,0.0,0.9188260179799048,0.054429085521744205,0.0,0.18941158205247632,-17.7,-17.9
2065,43.90304519518947,0.0,143.0,CanESM5,ssp126,16.935527753762145,0.0,59.0,0.2902105049919981,0.0,0.9452670544685352,0.052586641061208333,0.0,0.1832013662474771,-16.2,-20.7
2066,40.88166283322269,0.0,134.0,CanESM5,ssp126,16.697505399735608,0.0,61.0,0.2702383846722811,0.0,0.8857747223691169,0.05184755596874897,0.0,0.18941158205247632,-22.0,-21.8
2067,41.98745742375606,0.0,137.0,CanESM5,ssp126,16.556142516985584,0.0,60.0,0.2775479734515869,0.0,0.9056054997355897,0.051408608964401754,0.0,0.1863064741499767,-19.8,-22.4
2068,47.17659262083267,0.0,151.0,CanESM5,ssp126,18.833632970216513,0.0,66.0,0.31184950172417153,0.0,0.9981491274457959,0.05848046256859653,0.0,0.20493712156497437,-9.9,-11.8
2069,45.7290504160902,0.0,149.0,CanESM5,ssp126,17.840864013458127,0.0,64.0,0.3022808726605645,0.0,0.9849286092014807,0.05539780783560977,0.0,0.19872690575997515,-12.7,-16.4
2070,49.60797068339048,0.0,160.0,CanESM5,ssp126,19.148989222115063,0.0,68.0,0.3279215407416081,0.0,1.0576414595452142,0.05945967775846937,0.0,0.2111473373699736,-5.3,-10.3
2071,43.42382585534432,0.0,141.0,CanESM5,ssp126,17.734257230944042,0.0,63.0,0.28704274097927235,0.0,0.93204653622422,0.05506678227276523,0.0,0.19562179785747555,-17.1,-16.9
2072,40.126175757001214,0.0,131.0,CanESM5,ssp126,16.274375725363093,0.0,58.0,0.26524441933501597,0.0,0.865943945002644,0.05053369267307279,0.0,0.18009625834497747,-23.4,-23.8
2073,41.16761144097218,0.0,135.0,CanESM5,ssp126,16.513270387912797,0.0,59.0,0.27212857906512544,0.0,0.8923849814912744,0.05127548637762085,0.0,0.1832013662474771,-21.4,-22.6
2074,40.62179807303474,0.0,132.0,CanESM5,ssp126,16.517640014080513,0.0,59.0,0.2685206112707214,0.0,0.8725542041248017,0.0512890545383652,0.0,0.1832013662474771,-22.4,-22.6
2075,37.172464577746936,0.0,123.0,CanESM5,ssp126,15.947741385985847,0.0,58.0,0.24571962306813153,0.0,0.8130618720253834,0.04951945780464476,0.0,0.18009625834497747,-29.0,-25.3
2076,46.65732464140801,0.0,148.0,CanESM5,ssp126,18.119281030424577,0.0,64.0,0.30841700582633536,0.0,0.9783183500793231,0.05626232271518267,0.0,0.19872690575997515,-10.9,-15.1
2077,39.43778918443793,0.0,130.0,CanESM5,ssp126,15.81457634182988,0.0,57.0,0.26069400571415874,0.0,0.8593336858804865,0.049105965973699366,0.0,0.17699115044247787,-24.7,-25.9
2078,47.825344962560564,0.0,154.0,CanESM5,ssp126,18.440158970654554,0.0,64.0,0.31613792280909947,0.0,1.0179799048122686,0.057258683343128565,0.0,0.19872690575997515,-8.7,-13.6
2079,46.16403480208467,0.0,149.0,CanESM5,ssp126,18.238245694327382,0.0,64.0,0.30515623216608057,0.0,0.9849286092014807,0.056631720833185475,0.0,0.19872690575997515,-11.9,-14.6
2080,39.34431954688834,0.0,129.0,CanESM5,ssp126,16.584842798155666,0.0,60.0,0.2600761471899018,0.0,0.8527234267583289,0.051497726434266936,0.0,0.1863064741499767,-24.9,-22.3
